precio,m2,antiguedad,salas,dormitorios,renta_zona,poblacion_zona
317710.19999999995,243.18,5.68,7.0,4.0,79545.46,23086.8
451767.30000000005,234.83,6.0,7.0,3.0,79248.64,40173.07
317696.4,288.28,5.87,9.0,5.0,61287.07,36882.16
378185.1,200.5,7.19,6.0,3.0,63345.24,34310.24
189282.90000000002,268.08,5.04,8.0,4.0,59982.2,26354.11
320441.4,216.04,4.99,6.0,4.0,80175.75,26748.43
450616.80000000005,277.33,6.03,8.0,3.0,64698.46,60828.25
472181.10000000003,231.52,6.99,7.0,2.0,78394.34,36516.36
239661.0,224.69,5.36,6.0,2.0,59927.66,29387.4
463546.5,277.93,4.42,8.0,6.0,81885.93,40149.97
512113.80000000005,184.18,8.09,5.0,4.0,80527.47,47224.36
199119.59999999998,256.93,4.5,7.0,4.0,50593.7,34343.99
312844.19999999995,250.4,7.67,7.0,3.0,39033.81,39220.36
387399.6,212.7,6.92,6.0,2.0,73163.66,32326.12
420845.39999999997,285.09,5.34,8.0,4.0,69391.38,35521.29
392002.5,288.43,5.44,9.0,4.0,73091.87,23929.52
467036.10000000003,279.49,5.07,8.0,3.0,79706.96,39717.81
158545.5,185.81,4.79,5.0,4.0,61929.08,24595.9
305827.80000000005,248.53,5.95,7.0,5.0,63508.19,35719.65
309177.30000000005,245.66,5.74,7.0,5.0,62085.28,44922.11
644077.5,273.26,6.63,8.0,4.0,86295.0,47560.78
278774.4,228.42,5.55,7.0,2.0,60835.09,45574.74
215666.09999999998,197.24,4.21,5.0,4.0,64490.65,40358.96
223200.0,247.42,6.17,7.0,6.0,60697.35,28140.97
268721.1,265.36,5.34,8.0,4.0,59748.86,27809.99
436192.5,252.29,8.29,7.0,4.0,56974.48,40694.87
337707.9,242.68,4.02,7.0,2.0,82173.63,38853.92
292628.69999999995,242.56,5.44,7.0,4.0,64626.88,27784.74
372229.19999999995,160.17,6.38,4.0,3.0,90499.06,33970.16
473105.39999999997,281.11,6.98,8.0,4.0,59323.79,37520.66
374049.0,233.5,5.31,7.0,3.0,77811.52,33754.74
351216.30000000005,221.63,6.12,6.0,4.0,68652.61,39355.63
321383.69999999995,290.66,7.13,9.0,5.0,55041.35,30122.47
160291.5,252.91,6.12,7.0,6.0,50218.71,16810.78
280910.69999999995,311.6,5.42,9.0,6.0,55909.32,22355.24
359758.19999999995,230.69,5.5,7.0,2.0,74372.81,39395.15
369966.0,266.33,5.47,8.0,4.0,78667.9,27637.66
324345.0,235.59,5.65,7.0,3.0,78699.52,22836.61
157413.90000000002,195.71,5.18,5.0,2.0,53128.19,32947.71
90706.79999999999,234.32,4.95,7.0,2.0,17796.63,47162.18
308045.1,183.94,6.58,5.0,2.0,58566.85,39705.46
528664.5,259.57,7.85,8.0,6.0,75537.79,32778.2
